id,date,name,phone,delivery,orderTotal
1,1608083771934,Виктория Рожкова,+7 670 852 27 67,"397983, Тюменская область
Астрахань, 23021 Hilbert площадь",1274999
2,1618840173975,Никита Жуков,+3 799 238 11 26,"910371, Алтайский край
Челябинск, 640 Белов ул.",1434999
3,1623869722634,Антонина Бобылева,+7 250 290 53 76,self-pickup,359999
4,1630287399214,Валерий Копылов,+7 744 586 44 90,self-pickup,114999
5,1612737734745,Наталья Некрасова,+7 206 440 09 96,self-pickup,339999
6,1625266335294,Владислав Гусев,+7 897 702 21 63,self-pickup,1114999
7,1611797539281,Арсений Исаков,+2 537 778 52 55,self-pickup,1229999
8,1612889247405,Константин Евсеев,+4 394 733 83 83,"408135, Тамбовская область
Красноярск, 178 Mattie пр.",974999
9,1609119590241,Зоя Захарова,+4 302 423 02 79,"711401, Ставропольский край
Тюмень, 4117 Eleanore площадь",1279999
10,1618460876520,Валерий Беляев,+3 919 343 13 69,"070842, Самарская область
Уфа, 8052 Горшков пр.",594999
11,1625587553553,Максим Игнатьев,+7 591 337 39 44,self-pickup,444999
12,1625330521587,Лариса Беспалова,+7 305 383 32 45,self-pickup,1074999
13,1634537255462,Леонид Игнатов,+7 316 666 79 70,"716969, Пензенская область
Брянск, 3901 Максимова проспект",1079999
14,1622701369390,Андрей Воробьев,+2 453 294 07 41,self-pickup,1364999
15,1605059944264,Игнатий Фомин,+7 489 834 91 68,self-pickup,1024999
16,1626947440665,Константин Соболев,+5 586 451 92 34,self-pickup,1339999
17,1615642773093,Михаил Мишин,+5 696 609 41 75,"154640, Пермская область
Киров, 343 Alessandra проспект",369999
18,1608114051607,Ангелина Якушева,+4 434 425 18 94,"700465, Пермская область
Москва, 472 Якушев пр.",669999
19,1624123017919,Тамара Кондратьева,+7 559 950 25 46,"118505, Свердловская область
Томск, 9198 Яковлева пл.",639999
20,1616181971298,Кира Захарова,+7 733 430 92 87,self-pickup,1159999
21,1626842411666,Станислав Фролов,+7 227 966 07 00,"346084, Республика Башкортостан
Воронеж, 591 Савин пр.",319999
22,1619053218106,Виктор Лебедев,+7 671 527 56 48,self-pickup,1069999
23,1623123001930,Клавдия Щербакова,+7 373 665 10 96,self-pickup,129999
24,1617350702323,Любовь Фролова,+5 567 961 31 30,self-pickup,864999
25,1606583895328,Валерия Кузьмина,+7 225 658 83 49,"623346, Смоленская область
Владимир, 293 Брагин площадь",634999
26,1627905792823,Григорий Дьячков,+4 875 842 52 25,"143179, Астраханская область
Екатеринбург, 70027 Diego пр.",1459999
27,1621308948935,Георгий Куликов,+7 623 414 77 29,"928958, Усть-Ордынский Бурятский автономный округ
Иваново, 379 Чернова пл.",1329999
28,1625371630894,Георгий Гущин,+7 395 789 92 27,"310357, Иркутская область
Иркутск, 5003 Голубев проспект",969999
29,1630209273580,Владимир Зимин,+6 561 409 24 47,self-pickup,1164999
30,1618399024966,Лидия Нестерова,+7 555 636 31 60,"677544, Курганская область
Санкт-Петербург, 4490 Hellen площадь",1304999
31,1616708995662,Римма Григорьева,+7 706 498 04 23,"152955, Приморский край
Тула, 453 Стрелков пл.",389999
32,1615335505637,Алла Овчинникова,+8 867 485 65 79,"696441, Брянская область
Хабаровск, 86065 Lorenzo площадь",1014999
